state,district,mean_monthly_activity
GUJARAT,MORBI,5968.2
GUJARAT,NARMADA,5523.5
GUJARAT,NAVSARI,7791.1
GUJARAT,PANCH MAHALS,214.6
GUJARAT,PANCHMAHALS,14351.7
GUJARAT,PATAN,11247.5
GUJARAT,PORBANDAR,4812.7
GUJARAT,RAJKOT,32338.1
GUJARAT,SABAR KANTHA,369.7
GUJARAT,SABARKANTHA,13937.9
GUJARAT,SURAT,66465.0
GUJARAT,SURENDRA NAGAR,14132.5
GUJARAT,SURENDRANAGAR,288.2
GUJARAT,TAPI,5442.7
GUJARAT,THE DANGS,3585.9
GUJARAT,VADODARA,31372.8
GUJARAT,VALSAD,13981.5
HARYANA,AKHERA,0.1
HARYANA,AMBALA,10921.6
HARYANA,BHIWANI,13339.4
HARYANA,CHARKHI DADRI,2274.1
HARYANA,FARIDABAD,29566.1
HARYANA,FATEHABAD,11437.6
HARYANA,GURGAON,19686.5
HARYANA,GURUGRAM,263.6
HARYANA,HISAR,18430.7
HARYANA,JHAJJAR,9164.7
HARYANA,JHAJJAR *,0.1
HARYANA,JIND,13910.2
HARYANA,KAITHAL,12290.1
HARYANA,KARNAL,14719.8
HARYANA,KURUKSHETRA,10110.5
HARYANA,MAHENDRAGARH,8012.0
HARYANA,MEWAT,14255.0
HARYANA,NUH,150.6
HARYANA,PALWAL,13236.8
HARYANA,PANCHKULA,7317.1
HARYANA,PANIPAT,15494.5
HARYANA,REWARI,9624.8
HARYANA,ROHTAK,10591.4
HARYANA,SIRSA,15556.3
HARYANA,SONIPAT,14993.6
HARYANA,YAMUNA NAGAR,14500.5
HARYANA,YAMUNANAGAR,136.9
HIMACHAL PRADESH,BILASPUR,2966.5
HIMACHAL PRADESH,CHAMBA,5515.7
HIMACHAL PRADESH,HAMIRPUR,3233.7
HIMACHAL PRADESH,KANGRA,12800.6
HIMACHAL PRADESH,KINNAUR,579.9
HIMACHAL PRADESH,KULLU,3208.9
HIMACHAL PRADESH,LAHAUL AND SPITI,10.9
HIMACHAL PRADESH,LAHUL & SPITI,91.0
HIMACHAL PRADESH,LAHUL AND SPITI,103.0
HIMACHAL PRADESH,MANDI,8215.3
HIMACHAL PRADESH,SHIMLA,5713.9
HIMACHAL PRADESH,SIRMAUR,5245.5
HIMACHAL PRADESH,SOLAN,4372.8
HIMACHAL PRADESH,UNA,4235.7
JAIPUR,NEAR MEERA HOSPITAL,0.2
JAMMU & KASHMIR,ANANTNAG,2.2
JAMMU & KASHMIR,BADGAM,1.7
JAMMU & KASHMIR,BANDIPUR,0.3
JAMMU & KASHMIR,BARAMULA,22.1
JAMMU & KASHMIR,DODA,1.1
JAMMU & KASHMIR,JAMMU,48.7
JAMMU & KASHMIR,KARGIL,1.7
JAMMU & KASHMIR,KATHUA,10.3
JAMMU & KASHMIR,KUPWARA,1.9
JAMMU & KASHMIR,LEH (LADAKH),2.1
JAMMU & KASHMIR,PULWAMA,0.7
JAMMU & KASHMIR,PUNCH,1.1
JAMMU & KASHMIR,RAJAURI,2.9
JAMMU & KASHMIR,SRINAGAR,2.9
JAMMU & KASHMIR,UDHAMPUR,1.3
JAMMU AND KASHMIR,?,0.1
JAMMU AND KASHMIR,ANANTNAG,8646.7
JAMMU AND KASHMIR,BADGAM,2811.0
JAMMU AND KASHMIR,BANDIPORE,3790.6
JAMMU AND KASHMIR,BANDIPUR,0.1
JAMMU AND KASHMIR,BARAMULA,10230.3
JAMMU AND KASHMIR,BUDGAM,4259.2
JAMMU AND KASHMIR,DODA,5264.9
JAMMU AND KASHMIR,GANDERBAL,2206.8
JAMMU AND KASHMIR,JAMMU,13804.8
JAMMU AND KASHMIR,KARGIL,549.2
JAMMU AND KASHMIR,KATHUA,6350.0
JAMMU AND KASHMIR,KISHTWAR,2805.7
JAMMU AND KASHMIR,KULGAM,3936.2
JAMMU AND KASHMIR,KUPWARA,9776.2
JAMMU AND KASHMIR,LEH,419.7
JAMMU AND KASHMIR,POONCH,0.4
JAMMU AND KASHMIR,PULWAMA,5618.7
JAMMU AND KASHMIR,PUNCH,7243.4
JAMMU AND KASHMIR,RAJOURI,7421.8
JAMMU AND KASHMIR,RAMBAN,3955.1
JAMMU AND KASHMIR,REASI,3335.5
JAMMU AND KASHMIR,SAMBA,1693.3
JAMMU AND KASHMIR,SHOPIAN,41.2
JAMMU AND KASHMIR,SHUPIYAN,2440.2
JAMMU AND KASHMIR,SRINAGAR,11579.0
JAMMU AND KASHMIR,UDHAMPUR,6513.4
JHARKHAND,BOKARO,18490.2
JHARKHAND,BOKARO *,0.5
JHARKHAND,CHATRA,12129.0
JHARKHAND,DEOGHAR,13581.0
JHARKHAND,DHANBAD,26989.7
JHARKHAND,DUMKA,14169.5
JHARKHAND,EAST SINGHBHUM,20495.7
JHARKHAND,EAST SINGHBUM,144.7
JHARKHAND,GARHWA,14580.4
JHARKHAND,GARHWA *,808.1
JHARKHAND,GIRIDIH,25038.4
JHARKHAND,GODDA,14400.1
JHARKHAND,GUMLA,14133.2
JHARKHAND,HAZARIBAG,1802.6
JHARKHAND,HAZARIBAGH,14778.1
JHARKHAND,JAMTARA,7709.4
JHARKHAND,KHUNTI,6702.0
JHARKHAND,KODARMA,821.1
JHARKHAND,KODERMA,6555.0
JHARKHAND,LATEHAR,8471.7
JHARKHAND,LOHARDAGA,5957.4
JHARKHAND,PAKAUR,645.9
JHARKHAND,PAKUR,8967.2
JHARKHAND,PALAMAU,660.6
JHARKHAND,PALAMU,23569.8
JHARKHAND,PASHCHIMI SINGHBHUM,2386.7
JHARKHAND,PURBI SINGHBHUM,2641.1
JHARKHAND,RAMGARH,7567.6
JHARKHAND,RANCHI,29569.2
JHARKHAND,SAHEBGANJ,13649.5
JHARKHAND,SAHIBGANJ,511.8
JHARKHAND,SERAIKELA-KHARSAWAN,11753.9
JHARKHAND,SIMDEGA,9087.5
JHARKHAND,WEST SINGHBHUM,19733.9
KARNATAKA,BAGALKOT,13693.7
KARNATAKA,BAGALKOT *,317.0
KARNATAKA,BALLARI,6454.0
KARNATAKA,BANGALORE,25783.7
KARNATAKA,BANGALORE RURAL,8891.3
KARNATAKA,BELAGAVI,14112.7
KARNATAKA,BELGAUM,18083.4
KARNATAKA,BELLARY,9984.7
KARNATAKA,BENGALURU,63197.9
KARNATAKA,BENGALURU RURAL,287.9
KARNATAKA,BENGALURU SOUTH,406.3
KARNATAKA,BENGALURU URBAN,2307.4
KARNATAKA,BIDAR,12768.7
KARNATAKA,BIJAPUR,8972.3
KARNATAKA,BIJAPUR(KAR),1.7
KARNATAKA,CHAMARAJANAGAR,320.4
KARNATAKA,CHAMARAJANAGAR *,14.1
KARNATAKA,CHAMRAJANAGAR,4640.3
KARNATAKA,CHAMRAJNAGAR,456.8
KARNATAKA,CHICKMAGALUR,3363.4
KARNATAKA,CHIKKABALLAPUR,8130.6
KARNATAKA,CHIKKAMAGALURU,2741.6
KARNATAKA,CHIKMAGALUR,225.1
KARNATAKA,CHITRADURGA,11298.1
KARNATAKA,DAKSHINA KANNADA,14095.8
KARNATAKA,DAVANAGERE,992.0
KARNATAKA,DAVANGERE,12801.8
KARNATAKA,DHARWAD,14804.3
KARNATAKA,GADAG,7392.6
KARNATAKA,GADAG *,233.2
KARNATAKA,GULBARGA,9252.0
KARNATAKA,HASAN,1924.3
KARNATAKA,HASSAN,8835.2
KARNATAKA,HAVERI,13020.0
KARNATAKA,HAVERI *,249.8
KARNATAKA,KALABURAGI,11513.9
KARNATAKA,KODAGU,2999.7
KARNATAKA,KOLAR,11573.4
KARNATAKA,KOPPAL,10866.2
KARNATAKA,MANDYA,10963.4
KARNATAKA,MYSORE,7882.2
KARNATAKA,MYSURU,9613.5
KARNATAKA,RAICHUR,16882.0
KARNATAKA,RAMANAGAR,7870.5
KARNATAKA,RAMANAGARA,20.4
KARNATAKA,SHIMOGA,4462.3
KARNATAKA,SHIVAMOGGA,6063.4
KARNATAKA,TUMAKURU,7498.6
KARNATAKA,TUMKUR,9400.3
KARNATAKA,UDUPI,6559.1
KARNATAKA,UDUPI *,0.6
KARNATAKA,UTTARA KANNADA,7725.7
KARNATAKA,VIJAYANAGARA,3675.9
KARNATAKA,VIJAYAPURA,9065.9
KARNATAKA,YADGIR,10756.3
KERALA,ALAPPUZHA,12802.3
KERALA,ERNAKULAM,22128.6
KERALA,IDUKKI,6512.3
KERALA,KANNUR,18307.4
KERALA,KASARAGOD,10366.9
KERALA,KASARGOD,432.2
KERALA,KOLLAM,18548.0
KERALA,KOTTAYAM,11174.6
KERALA,KOZHIKODE,24881.7
KERALA,MALAPPURAM,39096.6
KERALA,PALAKKAD,21656.7
KERALA,PATHANAMTHITTA,8235.6
KERALA,THIRUVANANTHAPURAM,22041.8
KERALA,THRISSUR,21140.3
KERALA,WAYANAD,5643.4
LADAKH,KARGIL,592.3
LADAKH,LEH,619.2
LAKSHADWEEP,LAKSHADWEEP,619.9
MADANAPALLE,KADIRI ROAD,0.2
MADHYA PRADESH,AGAR MALWA,2923.4
MADHYA PRADESH,ALIRAJPUR,9073.7
MADHYA PRADESH,ANUPPUR,10077.1
MADHYA PRADESH,ASHOK NAGAR,12457.1
MADHYA PRADESH,ASHOKNAGAR,301.1
MADHYA PRADESH,BALAGHAT,21285.9
MADHYA PRADESH,BARWANI,24800.9
MADHYA PRADESH,BETUL,21223.4
MADHYA PRADESH,BHIND,15534.8
MADHYA PRADESH,BHOPAL,29016.4
MADHYA PRADESH,BURHANPUR,10037.3
MADHYA PRADESH,CHHATARPUR,25622.5
MADHYA PRADESH,CHHINDWARA,23859.4
MADHYA PRADESH,DAMOH,19600.3
MADHYA PRADESH,DATIA,8932.2
MADHYA PRADESH,DEWAS,17759.2
MADHYA PRADESH,DHAR,24655.8
MADHYA PRADESH,DINDORI,11155.2
MADHYA PRADESH,EAST NIMAR,5382.9
MADHYA PRADESH,GUNA,19565.0
MADHYA PRADESH,GWALIOR,22738.1
MADHYA PRADESH,HARDA,5007.0
MADHYA PRADESH,HARDA *,1287.6
MADHYA PRADESH,HOSHANGABAD,11544.1
MADHYA PRADESH,INDORE,43061.4
MADHYA PRADESH,JABALPUR,26318.2
MADHYA PRADESH,JHABUA,14367.6
MADHYA PRADESH,KATNI,16633.5
MADHYA PRADESH,KHANDWA,8126.9
MADHYA PRADESH,KHARGONE,22522.0
MADHYA PRADESH,MAIHAR,595.6
MADHYA PRADESH,MANDLA,12413.9
MADHYA PRADESH,MANDSAUR,15479.1
MADHYA PRADESH,MAUGANJ,558.5
MADHYA PRADESH,MORENA,27835.7
MADHYA PRADESH,NARMADAPURAM,1349.6
MADHYA PRADESH,NARSIMHAPUR,1582.3
MADHYA PRADESH,NARSINGHPUR,9448.8
MADHYA PRADESH,NEEMUCH,9895.1
MADHYA PRADESH,NIWARI,417.6
MADHYA PRADESH,PANDHURNA,129.6
MADHYA PRADESH,PANNA,15020.3
MADHYA PRADESH,RAISEN,16702.8
MADHYA PRADESH,RAJGARH,21568.0
MADHYA PRADESH,RATLAM,22235.2
MADHYA PRADESH,REWA,28893.1
MADHYA PRADESH,SAGAR,29444.3
MADHYA PRADESH,SATNA,27304.2
MADHYA PRADESH,SEHORE,15238.9
MADHYA PRADESH,SEONI,16611.6
MADHYA PRADESH,SHAHDOL,15464.6
MADHYA PRADESH,SHAJAPUR,16489.1
MADHYA PRADESH,SHEOPUR,10230.4
MADHYA PRADESH,SHIVPURI,24824.3
MADHYA PRADESH,SIDHI,18159.2
MADHYA PRADESH,SINGRAULI,17168.4
MADHYA PRADESH,TIKAMGARH,21902.6
MADHYA PRADESH,UJJAIN,24096.7
MADHYA PRADESH,UMARIA,7418.6
MADHYA PRADESH,VIDISHA,18456.1
MADHYA PRADESH,WEST NIMAR,1263.7
MAHARASHTRA,AHILYANAGAR,244.8
MAHARASHTRA,AHMADNAGAR,60306.4
MAHARASHTRA,AHMED NAGAR,1177.4
MAHARASHTRA,AHMEDNAGAR,36.8
MAHARASHTRA,AKOLA,25187.5
MAHARASHTRA,AMRAVATI,44138.9
MAHARASHTRA,AURANGABAD,48389.5
MAHARASHTRA,BEED,43683.1
MAHARASHTRA,BHANDARA,14200.1
MAHARASHTRA,BID,2237.8
MAHARASHTRA,BULDANA,5975.3
MAHARASHTRA,BULDHANA,34075.7
MAHARASHTRA,CHANDRAPUR,33018.0
MAHARASHTRA,CHATRAPATI SAMBHAJI NAGAR,1005.5
MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,2061.5
MAHARASHTRA,DHARASHIV,397.5
MAHARASHTRA,DHULE,27236.7
MAHARASHTRA,DIST : THANE,0.1
MAHARASHTRA,GADCHIROLI,19573.7
MAHARASHTRA,GONDIA,186.9
MAHARASHTRA,GONDIYA,16302.2
MAHARASHTRA,GONDIYA *,347.3
MAHARASHTRA,HINGOLI,22180.4
MAHARASHTRA,HINGOLI *,1.3
MAHARASHTRA,JALGAON,58172.0
MAHARASHTRA,JALNA,27782.2
MAHARASHTRA,KOLHAPUR,40849.8
MAHARASHTRA,LATUR,37997.5
MAHARASHTRA,MUMBAI,55439.4
MAHARASHTRA,MUMBAI CITY,10237.5
MAHARASHTRA,MUMBAI SUBURBAN,38538.3
MAHARASHTRA,MUMBAI( SUB URBAN ),898.7
MAHARASHTRA,NAGPUR,52165.2
MAHARASHTRA,NANDED,59127.6
MAHARASHTRA,NANDURBAR,25130.7
MAHARASHTRA,NANDURBAR *,238.5
MAHARASHTRA,NASHIK,84507.4
MAHARASHTRA,OSMANABAD,26791.4
MAHARASHTRA,PALGHAR,29075.8
MAHARASHTRA,PARBHANI,30712.7
MAHARASHTRA,PUNE,107600.3
