state,district,mean_stress_index,max_stress_index,stress_volatility,active_months
BIHAR,KATIHAR,14224.17305899132,69561.0,25049.16678034475,10
BIHAR,KHAGARIA,6654.730901011024,27163.0,8873.769158632247,10
BIHAR,KISHANGANJ,11201.782903236348,43121.0,14324.597362625871,10
BIHAR,LAKHISARAI,2977.653589239357,16382.0,5490.486151321239,10
BIHAR,MADHEPURA,9574.658237991142,36749.0,12337.556549604147,10
BIHAR,MADHUBANI,38.02960574400913,250.10574018126889,75.38934882911325,10
BIHAR,MONGHYR,3.442114845938376,16.714285714285715,5.459547860367712,10
BIHAR,MUNGER,2773.7936984031007,22159.0,7025.275387028739,10
BIHAR,MUZAFFARPUR,115.23637814892213,1054.48,330.0751999337923,10
BIHAR,NALANDA,7376.368511765257,41954.0,13884.266572449842,10
BIHAR,NAWADA,6550.273990774077,34214.0,10929.633601400637,10
BIHAR,PASHCHIM CHAMPARAN,11.161747115113988,41.0,13.918698116974227,10
BIHAR,PATNA,110.6213662553525,948.9876543209876,294.8948493931478,10
BIHAR,PURBA CHAMPARAN,3.9830743235732227,16.636363636363637,5.789147025643004,10
BIHAR,PURBI CHAMPARAN,0.0,0.0,0.0,10
BIHAR,PURNEA,308.67024386252046,776.0,318.2580637556792,10
BIHAR,PURNIA,8329.47901986761,59357.0,19425.041284770796,10
BIHAR,ROHTAS,9233.843313392184,38555.0,12321.523140665393,10
BIHAR,SAHARSA,5857.468662256532,39013.0,13158.307225175302,10
BIHAR,SAMASTIPUR,16166.277941269214,81918.0,26691.930926530706,10
BIHAR,SAMSTIPUR,3.955596638655462,22.0,6.916195992390254,10
BIHAR,SARAN,8240.675005769574,65640.0,20834.3981384723,10
BIHAR,SHEIKHPURA,2945.4164561224393,10885.0,3638.1387857095374,10
BIHAR,SHEIKPURA,3.9727272727272727,12.166666666666666,5.298788828080177,10
BIHAR,SHEOHAR,2955.1951802387966,13626.0,4268.1048461904065,10
BIHAR,SITAMARHI,11.682944444872266,51.07784431137725,14.775974412882487,10
BIHAR,SIWAN,6329.651437751896,46511.0,15056.755581907646,10
BIHAR,SUPAUL,10463.836232233363,49523.0,15582.768775954635,10
BIHAR,VAISHALI,12540.880583258246,68548.0,21623.00398568145,10
BIHAR,WEST CHAMPARAN,10988.105202687711,72150.0,22887.8600600586,10
CHANDIGARH,CHANDIGARH,9263.891131114262,44127.0,14463.271332457523,10
CHANDIGARH,MOHALI,1.1,5.0,1.728840330651992,10
CHANDIGARH,RUPNAGAR,2.3,10.0,3.4334951418181574,10
CHHATISGARH,RAIPUR,0.9,4.0,1.3703203194062978,10
CHHATTISGARH,BALOD,7737.942242842708,22202.0,8865.30865753455,10
CHHATTISGARH,BALODA BAZAR,10846.276314539518,36253.0,14470.597307899669,10
CHHATTISGARH,BALRAMPUR,4449.268749253345,27496.0,8538.081806367665,10
CHHATTISGARH,BASTAR,7855.9220101757,19427.0,8678.26758295328,10
CHHATTISGARH,BEMETARA,9034.427784487212,27815.0,10299.451398892463,10
CHHATTISGARH,BIJAPUR,8.479252054334777,42.68944099378882,12.220666566044533,10
CHHATTISGARH,BILASPUR,13697.062055834967,55526.0,19705.6301728801,10
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,1703.5887009348444,6255.0,2137.138216070624,10
CHHATTISGARH,DANTEWADA,1173.5609091119957,5961.0,1875.6277179922104,10
CHHATTISGARH,DHAMTARI,7118.263008025303,17187.0,7674.724987699666,10
CHHATTISGARH,DURG,7814.835647805148,33693.0,12981.578138800784,10
CHHATTISGARH,GARIYABAND,3082.153243308593,7349.0,3290.5497957126704,10
CHHATTISGARH,GAURELA-PENDRA-MARWAHI,260.8014169360052,968.0,311.40373428114765,10
